bloco,chave,qtd,pct,variantes
B1_BRUTO,Gerente de Engenharia / Engenheira Civil ...,2,,
B1_BRUTO,"Diretor de Compras, Seguros e Serviços Gerais ...",1,,
B1_BRUTO,Operations Manager,1,,
B1_BRUTO,Head of Procurement Americas at Clariant,1,,
B1_BRUTO,"Manager, Sales & Supply Chain at Gerdau",1,,
B1_BRUTO,Procurement Manager at General Motors,1,,
B1_BRUTO,Gerente de Compras | Supply Chain | Suprimentos,1,,
B1_BRUTO,Engenharia - Manutenção - Projetos,1,,
B1_BRUTO,Gestão de projetos,1,,
B1_BRUTO,"Sr Purchasing Manager, Global Supplier Cost ...",1,,
B1_BRUTO,Fundo Desenvolvimento Infraestrutura BA — PPP rodovias 1000km,1,,
B1_BRUTO,Gerente de Compras na Secretaria de ...,1,,
B1_BRUTO,Corporate Communications Manager,1,,
B1_BRUTO,Head of supply chain NA BL catalyst Evonik ...,1,,
B1_BRUTO,Head of Supply Chain Management,1,,
B1_BRUTO,Adm Contractual Director,1,,
B1_BRUTO,Engenheiro civil master,1,,
B1_BRUTO,Gerente de Suprimentos I Supply Chain ...,1,,
B1_BRUTO,Gerente de Suprimentos da Baterias Moura,1,,
B1_BRUTO,Logistic & Purchasing Manager at Ares ...,1,,
B1_BRUTO,Gerente de Engenharia na Suspensys ...,1,,
B1_BRUTO,Diretor Operacional/Diretor de Engenharia VLI Multimodal,1,,
B1_BRUTO,IT Manager,1,,
B1_BRUTO,Engenharia civil,1,,
B1_BRUTO,Procurement Manager na Corbion,1,,
B1_BRUTO,Head de suprimentos/Gerente de Compras ...,1,,
B1_BRUTO,Senior Strategic Buyer,1,,
B1_BRUTO,Especialista Supply Chain & Logística Offshore,1,,
B1_BRUTO,Engenheiro de Instalações,1,,
B1_BRUTO,Gerente de Suprimentos e Logística na ...,1,,
B1_BRUTO,Gerente de suprimentos na JSL S.A.,1,,
B1_BRUTO,Especialista em PCP & Supply Chain,1,,
B1_BRUTO,Gerente de Projetos e Sistemas de TI,1,,
B1_BRUTO,Strategic Procurement Manager @ Fuchs ...,1,,
B1_BRUTO,Diretora Novos Projetos GLP,1,,
B1_BRUTO,Gerente de projetos na Ypê - LinkedIn,1,,
B1_BRUTO,"Head of Procurement at Linde Vietnam,Indonesia ...",1,,
B1_BRUTO,Supervisora de compras,1,,
B1_BRUTO,Engenheiro Civil I Gerente de Engenharia I ...,1,,
B1_BRUTO,Compradora na Santa Casa de misericordia da Bahia,1,,
B1_BRUTO,Coordenador Compras/Suprimentos na Grupo Cosan,1,,
B1_BRUTO,Gerente de engenharia e ...,1,,
B1_BRUTO,Financeiro de Obras / CAPEX / Contratos ...,1,,
B1_BRUTO,Purchasing at New Holland Fiat India Pvt. Ltd.,1,,
B1_BRUTO,Gerente de projetos e engenheiro de processo na ...,1,,
B1_BRUTO,Diretor de Projetos,1,,
B1_BRUTO,Engenheiro de Projetos na Dedini S/A Indústrias de ...,1,,
B1_BRUTO,Sales Representative,1,,
B1_BRUTO,Diretor de Supply Chain,1,,
